title,content,tokens
Page 83,"68 T h e Ha p p i n e H y p o t h e s i s by theirbehavior, but we think we have special information about ourselves— we know what we are“really like”inside, sowe can easily find ways to explain away our selfish acts and cling to the illusion that we are better than others. Ambiguity abets the illusion. For many traits, such as leadership, there are so many ways to define it that one is free to pick the criterion that will most flatter oneself. If I’m confident, I can define leadership as confi­ dence. If I think Fm high on people skills, I can define leadership as the ability to understand and influence people. When comparing ourselves to others, the general process is this: Frame the question (unconsciously, au­ tomatically) so that the trait in question is related to a self-perceived strength, then go out and look for evidence that you have the strength. Once you find a piece of evidence, once you have a “makes-sense” story, you are done. You can stop thinking, and revel in your self-esteem. Its no wonder, then, that in a study of 1 million American high school students, 70 percent thought they were above average on leadership ability, but only 2 percent thought they were below average. Everyone can find some skill that might be construed as related to leadership, and then find some piece of evidence that one has that skill.18(College professors are less wise than high school students in this respect—94 percent of us think we do above- average work.)19But when there is little room for ambiguity—how tall are you? how good are you atjuggling?—people tend to be much more modest. If the only effect of these rampant esteem-inflating biases was to make people feel good about themselves, they would not be a problem. In fact, evidence shows that people who hold pervasive positive illusions about themselves, their abilities, and their future prospects are mentally health­ ier, happier, and better liked than people who lack such illusions.20 But such biases can make people feel that they deserve more than they do, thereby setting the stage for endless disputes with other people who feel equally over-entitled. I fought endlessly with my first-year college roommates. I had provided much of our furniture, including the highly valued refrigerator, and I did most of the work keeping our common space clean. After a while, I got tired of doing more than my share; I stopped working so hard and let the space become messy so that someone else would pick up the slack. No­ body did. But they did pick up my resentment, and it united them in their",563
Page 84,"The Faults of Others 69 dislike of me. The next year, when we no longer lived together, we became close friends. When my father drove me and rny refrigerator up to college that first year, he told me that the most important things I was going to learn I would not learn in the classroom, and he was right. It took many more years of liv­ ing with roommates, but I finally realized what a fool I had made of myself that first year. Of course I thought I did more than my share. Although I was aware of every little thing I did for the group, I was aware of only a portion of everyone else’s contributions. And even if I had been correct in my ac­ counting, I was self-righteous in setting up the accounting categories. I picked the things I cared about—such as keeping the refrigerator clean— and then gave myself an A-plus in that category. As with other kinds of so­ cial comparison, ambiguity allows us to set up the comparison in ways that favor ourselves, and then to seek evidence that shows we are excellent co- operators. Studies of such “unconscious overclaiming”show that when hus­ bands and wives estimate the percentage of housework each does, their estimates total more than 120 percent.21 When MBA students in a work group make estimates of their contributions to the team, the estimates total 139 percent.22Whenever people form cooperative groups, which are usu­ ally of mutual benefit, self-serving biases threaten to fill group members with mutual resentment. I m R i g h ; Y o u 'r e B i a s e d If spouses, colleagues, and roommates so easily descend into resentment, things get worse when people who lack affection or shared goals have to negotiate. Vast societal resources are expended on litigation, labor strikes, divorce disputes, and violence after failed peace talks because the same self-serving biases are at work fomenting hypocritical indignation. In these high-pressure situations, the lawyers (real and metaphorical) are working round the clock to spin and distort the case in their clients’favor. George Loewenstein23and his colleagues at Carnegie Mellon found a way to study the process by giving pairs of research subjects a real legal case to read (about a motorcycle accident, in Texas), assigning one subject to play the",480
Page 85,"70 T h e H a p p i n e H y p o t h e s i s defendant and one the plaintiff, and then giving them real money to nego­ tiate with. Each pair was told to reach a fair agreement and warned that, if they failed to agree, a settlement would be imposed and “court costs” de­ ducted from the pool of money, leaving both players worse off. When both players knew which role each was to play from the start, each read the case materials differently, made different guesses about what settlement the judge in the real case had imposed, and argued in a biased way. More than a quarter of all pairs failed to reach an agreement: However, when the play­ ers didn’t know which role they were to play until after they had read all the materials, they became much more reasonable, and only 6 percent of pairs failed to settle. Recognizing that hiding negotiators’ identities from them until the last mihute is not an option in the real world, Loewenstein set out to find other ways to “de-bias” negotiators. He tried having subjects read a short essay about the kinds of self-serving biases that affect people in their situation to see whether subjects could correct for the biases. No dice. Although the subjects used the information to predict their opponent’s behavior more accurately, they did not change their own biases at all. As Epley and Dun­ ning had found, people really are open to information that will predict the behavior of others, but they refuse to adjust their self-assessments. In an­ other study, Loewenstein followed the advice often given by marriage ther­ apists to have each subject first write an essay arguing the other person’s case as convincingly as possible. Even worse than no dice. The manipula­ tion backfired, perhaps because thinking about your opponent’s arguments automatically triggers additional thinking on your own part as you prepare to refute them. One manipulation did work. When subjects read the essay about self- serving biases and were then asked to write an essay about weaknesses in their own case, their previous righteousness was shaken. Subjects in this study were just as fair-minded as those who learned their identities at the last minute. But before you get too optimistic about this technique for re­ ducing hypocrisy, you should realize that Loewenstein was asking subjects to find weaknesses in their cases—in the positions they were arguing for—not in theircharacters. When you tryto persuade people to lookat their own per­",517
Page 86,"The Faults of Others 71 sonal picture of Dorian Gray, they put up a much bigger fight. Emily Pronin at Princeton and Lee Ross at Stanford have tried to help people overcome their self-servingbiases by teaching them about biases and then asking, “OK, now that you know about these biases, do you want to change what you just said about yourself?”Across many studies, the results were the same:24 People were quite happy to learn about the various forms of self-servingbias and then apply their newfound knowledge to predict others’responses. But their self-ratings were unaffected. Even when you grab people by the lapels, shake them, and say, “Listen to me! Most people have an inflated view of themselves. Be realistic!”they refuse, muttering to themselves, “Well, other people may be biased, but I reallyam above average on leadership.” Pronin and Ross trace this resistance to a phenomenon they call “naive realism”: Eadi of us thinks we see the world directly, as it really is. We fur­ ther believe that the facts as we see them are there for all to see, therefore others should agree with us. If they don’t agree, it follows either that they have not yet been exposed to the relevant facts or else that they are blinded by their interests and ideologies. People acknowledge that their own back­ grounds have shaped their views, but such experiences are invariably seen as deepening ones insights; for example, being a doctor gives a person special insight into the problems of the health-care industry. But the background of other people is used to explain their biases and covert motivations; for exam­ ple, doctors think that lawyers disagree with them about tort reform not be­ cause they work with the victims of malpractice (and therefore have their own special insights) but because their self-interest biases their thinking. It just seems plain as day, to the naive realist, that everyone is influenced by ideology and self-interest. Except for me. I see things as they are. If I could nominate one candidate for “biggest obstacle to world peace and social harmony,”it would be naive realism because it is so easily ratch­ eted up from the individual to the group level: My group is right because we see things as they are. Those who disagree are obviously biased by their religion, their ideology, or their self-interest. Naive realism gives us a world full of good apd evil, and this brings us to the most disturbing implication of the sages’advice about hypocrisy: Good and evil do not exist outside of our beliefs about them.",533
Page 87,"72 T h e H a p p i n e Hy p o t h e s i s Sa t a n Sa t i s f i e s One day in 1998 I received a handwritten letter from a woman in my town whom I did not know. The woman wrote about how crime, drugs, and teen pregnancy were all spiraling out of control. Society was going downhill as Satan spread his wings. The woman invited me to come to her church and find spiritual shelter. As I read her letter, I had to agree with her that Satan had spread his wings, but only to fly away and leave us in peace. The late 1990s was a golden age. The cold war was over, democracy arid human rights were spreading, South Africa had vanquished apartheid, Israelis and Palestinians were reaping the fruits of the Oslo accords, and there were en­ couraging signs from North Korea. Here in the United States, crime and unemployment had plummeted, the stock market was climbing ever higher, and the ensuing prosperity was promising to erase the national debt. Even cockroaches were disappearing from our cities because of widespread use of the roach poison Combat. So what on earth was she talking about? When the moral history of the 1990s is written, it might be titled Desper­ ately Seeking Satan. With peace and harmony ascendant, Americans seemed to be searching for substitute villains. We tried drug dealers (but then the crack epidemic waned) and child abductors (who are usually one of the par­ ents). The cultural right vilified homosexuals; the left vilified racists and ho- mophobes. As I thought about these various villains, including the older villains of communism and Satan himself, I realized that most of them share three properties: They are invisible (you can’t identify the evil one from ap­ pearance alone); their evil spreads by contagion, making it vital to protect impressionable young people from infection (for example from communist ideas, homosexual teachers, or stereotypes on television); and the villains can be defeated only if we all pull together as a team. Ifbecame clear to me that people want to believe they are on a mission from God, or that they are fighting for some more secular good (animals, fetuses, womens rights), and you can’t have much of a mission without good allies and a good enemy. The problem of evil has bedeviled many religions since their birth. If God is all good and all powerful, either he allows evil to flourish (which means he is not all good), or else he struggles against evil (which means he is not all powerful). Religions have generally chosen one of three resolutions of this",560
Page 88,"The Faults ofOthers 73 paradox.25One solution is straight dualism: There exists a good force and an evil force, they are equal and opposite, and they fight eternally. Human be­ ings are part of the battleground. We were created part good, part evil, and we must choose which side we will be on. This view is clearest in religions emanating from Persia and Babylonia, such as Zoroastrianism, and the view influenced Christianity as a long-lived doctrine called Manichaeism. A sec­ ond resolution is straight monism: There is one God; he created the world as it needs to be, and evil is an illusion, aview that dominated religions that de­ veloped in India. These religions hold that the entire world—or, at least, its emotional grip upon us—is an illusion, and that enlightenment consists of breaking out of the illusion. The third approach, taken by Christianity, blends monism and dualism in a way that ultimately reconciles the goodness and power of God with the existence of Satan. This argument is so compli­ cated that I cannot understand it. Nor, apparently, can many Christians who, judging by what I hear on gospel radio stations in Virginia, seem to hold a straight Manichaean world view, according to which God and Satan are fighting an eternal war. In fact, despite the diversityof theological arguments made in different religions, concrete representations of Satan, demons, and other evil entities are surprisingly similar across continents and eras.26 From a psychological perspective, Manichaeism makes perfect sense. “Our life is the creation ofour mind,”as Buddha said, and our minds evolved to play Machiavellian tit for tat. We all commit selfish and shortsighted acts, but our inner lawyer ensures that we do not blame ourselves or our allies for them. We are thus convinced of our own virtue, but quick to seebias, greed, and duplicity in others. We are often correct about others' motives, but as any conflict escalates we begin to exaggerate grossly, to weave a story in which pure virtue (our side) is in a battle with pure vice (theirs). T h e M y t h o f P u r e E v i l In the days after receiving that letter, I thought a lot about the need for evil. I decided to write an article on this need and use the tools of modern psy­ chology to understand evil in a new way. But as soon as I started my re­ search, I found out I was too late. By one year. A three-thousand-year-old",548
Page 89,"74 T h e Ha p p i n e H y p o t h e s i s question had been given a complete and compelling psychological explana­ tion the previous year by Roy Baumeister, one of todays most creative social psychologists. In Evil: Inside Human Cruelty and Aggression,27 Baumeister examined evil from the perspective of both victim and perpetrator. When taking the perpetrators perspective, he found that people who do things we see as evil, from spousal abuse all the way to genocide, rarely think they are doing anything wrong. They almost always see themselves as responding to attacks and provocations in ways that are justified. They often think that they themselves are victims. But, of course, you can see right through this tactic; you are good at understanding the biases that others use to protect their self-esteem. The disturbing part is that Baumeister shows us our own distortions as victims, and as righteous advocates of victims. Almost every­ where Baumeister looked in the research literature, he found that victims often shared some of the blame. Most murders result from an escalating cy­ cle of provocation and retaliation; often, the corpse couldjust as easily have been the murderer. In half of all domestic disputes, both sides used vio­ lence.28Baumeister points out that, even in instances of obvious police bru­ tality, such as the infamous videotaped beating of Rodney King in Los Angeles in 1991, there is usually much more to the story than is shown on the news. (News programs gain viewers by satisfying peoples need to be­ lieve that evil stalks the land.) Baumeister is an extraordinary social psychologist, in part because in his search for truth he is unconcerned about political correctness. Sometimes evil falls out of a clear blue sky onto the head of an innocent victim, but most cases are much more complicated, and Baumeister is willing to vio­ late the taboo against “blaming the victim” in order to understand what really happened. People usually have reasons for committing violence, and those reasons usually involve retaliation for a perceived injustice, or self- defense. This does not mean that both sides are equally to blame: Perpe­ trators often grossly overreact and misinterpret (using self-serving biases). But Baumeister’spoint is that we have a deep need to understand violence and cruelty through what he calls “the myth of pure evil.” Of this myths many parts, the most important are that evildoers are pure in their evil motives (they have no motives for their actions beyond sadism and greed);",537
Page 90,"The Faults of Others 75 victims are pure in their victimhood (they did nothing to bring about their victimization); and evil comes from outside and is associated with a group or force that attacks our group. Furthermore, anyone who questions the application of the myth, who dares muddy the waters of moral certainty, is in league with evil. The myth of pure evil is the ultimate self-serving bias, the ultimate form of naive realism. And it is the ultimate cause of most long-running cycles of violence hecause both sides use it to lock themselves into a Manichaean struggle. When George W. Bush said that the 9/11 terrorists did what they did because they “hate our freedom,”he showed a stunning lack of psycho­ logical insight. Neither the 9/11 hijackers nor Osama Bin Laden were par­ ticularly upset because American women can drive, vote, and wear bikinis. Rather, many Islamic extremists want to kill Americans because they are using the Myth of Pure Evil to interpret Arab history and current events. They seeAmerica as the Great Satan, the current villain in a long pageant of Western humiliation of Arab nations and peoples. They did what they did as a reaction to Americas actions and impact in the Middle East, as they see it through the distortions of the Myth of Pure Evil. However hor­ rifying it is for terrorists to lump all civilians into the category of “enemy” and then kill them indiscriminately, such actions at least make psychologi­ cal sense, whereas killing because of a hatred for freedom does not. In another unsettling conclusion, Baumeister found that violence and cruelty have four main causes. The first two are obvious attributes of evil: greed/ambition (violence for direct personal gain, as in robbery) and sadism (pleasure in hurting people). But greed/ambition explains only a small por­ tion ofviolence, and sadism explains almost none. Outside of children scar­ toons and horror films, people almost never hurt others for the sheerjoy of hurting someone. The two biggest causes of evil are two that we think are good, and that we try to encourage in our children: high self-esteem and moral idealism. Having high self-esteem doesn't directly cause violence, but when someoneshigh esteem is unrealistic or narcissistic, it is easily threat­ ened by reality; in reaction to those threats, people—particularly young men—often lash out violently.29 Baumeister questions the usefulness of programs that try raise childrens self-esteem directly instead of by teaching",525
Page 91,"76 T h e H a p p i n eHsy p o t h e s i s them skills they can be proud of. Such direct enhancement can potentially foster unstable narcissism. Threatened self-esteem accounts for a large portion of violence at the individual level, but to really get a mass atrocity going you need idealism— the belief that yourviolence is a means to a moral end. The major atrocities of the twentieth century were carried out largely either by men who thought they were creating a utopia or else by men who believed they were defending their homeland or tribe from attack.30 Idealism easily becomes dangerous because it brings with it, almost inevitably, the belief that the ends justify the means. If you are fighting for good or for God, what mat­ ters is the outcome, not the path. People have little respect for rules; we re­ spect the moral principles that underlie most rules. But when a moral mission and legal rules are incompatible, we usually care more about the mission. The psychologist Linda Skitka31 finds that when people have strong moral feelings about a controversial issue—when they have a “moral mandate”—they care much less about procedural fairness in court cases. They want the “good guys” freed by any means, and the “bad guys” con­ victed by any means. It is thus not surprising that the administration of George W. Bush consistently argues that extra-judicial killings, indefinite imprisonment without trial, and harsh physical treatment of prisoners are legal and proper steps in fighting the Manichaean “war on terror.” F i n d i n gt h e G r e a t W a y In philosophy classes, I often came across the idea that the world is an illu­ sion. I never reallyknew what that meant, although it sounded deep. But af­ ter two decades studying moral psychology, I think I finally get it. The anthropologist Clifford Geertz wrote that “man is an animal suspended in webs of significance that he himself has spun.”32That is, the world we live in is not really one made of rocks, trees, and physical objects; it is a world of insults, opportunities, status symbols, betrayals, saints, and sinners. All of these are human creations which, though real in their own way, are not real in the way that rocks and trees are real. These human creations are like",496
Page 92,"The Faults of Others 77 fairies in J. M. Barries Peter Pan: They exist only if you believe in them. They are the Matrix (from the movie of that name); they are a consensual hallucination. The inner lawyer, the rose-colored mirror, naive realism, and the myth of pure evil— these mechanisms all conspire to weave for us a web of signifi­ cance upon which angels and demons fight it out. Our ever-judging minds then give us constant flashes of approval and disapproval, along with the certainty that we are on the side of the angels. From this vantage point it all seems so silly, all this moralism, righteousness, and hypocrisy. Its be­ yond silly; it is tragic, for it suggests that human beings will never achieve a state of lasting peace and harmony. So what can you do about it? The first step is to see it as a game and stop taking it so seriously. The great lesson that comes out of ancient India is that life as we experience it is a game called “samsara.” It is a game in which each person plays out his “dharma,” his role or part in a giant play. In the game of samsara, good things happen to you, and you are happy. Then bad things happen, and you are sad or angry. And so it goes, until you die. Then you are reborn back into it, and it repeats. The message of the Bhagavad Gita (a central text of Hinduism) is that you can’t quit the game entirely; you have a role to play in the functioning of the universe, and you must play that role. But you should do it in the right way, without being attached to the “fruits”or out­ comes of your action. The god Krishna says: I love the man who hates not nor exults, who mourns not nor desires . . . who is the same to friend and foe, [the same] whetherhe be respected or despised, the same in heat and cold, in pleasure and in pain, who has put away attachment and remains unmoved by praise or blame . . . con­ tented with whatever comes his way.33 Buddha went a step further. He, too, counseled indifference to the ups and downs of life, but he urged that we quit the game entirely. Buddhism is a set of practices for escaping samsara and the endless cycle of rebirth. Though divided on whether to retreat from the world or engage with it, Bud­ dhists all agree on the importance of training the mind to stop its incessant",547
Page 93,"78 T h e H a p p i n e H y p o t h e s i s judging. Sen-ts’an, an early Chinese Zen master, urged nonjudgmentalism as a prerequisite to following “the perfect way” in this poem from the eighth century CE: The Perfect Wayis only difficultfor thosewho pick and choose; Do not like, do not dislike; all will then be clear. Make a hairbreadth difference, and Heaven and Earth are , set apart; Ifyou want the truth to stand clear before you, never befor oragainst. Thestruggle between “for"" and “against”is the mind’sworst disease}4 Judgmentalism is indeed a disease of the mind: it leads to anger, torment, and conflict. But it is also the minds normal condition—the elephant is al­ ways evaluating, always saying “Like it” or “Don’t like it.” So how can you change your automatic reactions?You know by now that you can’t simply re­ solve to stop judging others or to stop being a hypocrite. But, as Buddha taught, the rider can gradually learn to tame the elephant, and meditation is one way to do so. Meditation has been shown to make people calmer, less reactive to the ups and downs and petty provocations of life.35Meditation is the Eastern way of training yourself to take things philosophically. Cognitive therapy works, too. In Feeling Good,36a popular guide to cog­ nitive therapy, David Bums has written a chapter on cognitive therapy for anger. He advises using many of the same techniques that Aaron Beck used for depression: Write down your thoughts, learn to recognize the dis­ tortions in your thoughts, and then think of a more appropriate thought. Bums focuses on the should statements we carry around—ideas about how the world should work, and about how people should treat us. Violations of these should statements are the major causes of anger and resentment. Burns also advises empathy: In a conflict, look at the world from your op­ ponent’spoint of view, and you’ll see that she is not entirely crazy. Although I agree with Burns’s general approach, the material I have re­ viewed in this chapter suggests that, once anger comes into play, people",472
Page 94,"The Faults of Others 79 find it extremely difficult to empathize with and understand another per­ spective. A better place to start is, as Jesus advised, with yourself and the log in your own eye. (Batson and Loewenstein both found that debiasing occurred only when subjects were forced to look at themselves.) And you will see the log only if you set out on a deliberate and effortful quest to look for it. Try this now: Think of a recent interpersonal conflict with someone you care about and then find one way in which your behavior was not ex­ emplary. Maybe you did something insensitive (even if you had a right to do it), or hurtful (even if you meant well), or inconsistent with your princi­ ples (even though you can readilyjustify it). When you first catch sight of a fault in yourself, you’ll likely hear frantic arguments from your inner lawyer excusing you and blaming others, but try not to listen. You are on a mission to find at least one thing that you did wrong. When you extract a splinter it hurts, briefly, but then you feel relief, even pleasure. When you find a fault in yourself it will hurt, briefly, but if you keep going and acknowledge the fault, you are likely to be rewarded with a flash of pleasure that is mixed, oddly, with a hint of pride. It is the pleasure of taking responsibility for your own behavior. It is the feeling of honor. Finding fault with yourselfis also the key to overcoming the hypocrisy and judgmentalism that damage so many valuable relationships. The instant you see some contribution you made to a conflict, your anger softens—maybe just a bit, but enough that you might beable to acknowledge some merit on the other side. You can still believe you are right and the other person is wrong, but if you can move to believing that you are mostly right, and your opponent is mostlywrong, you have the basis for an effective and nonhumili­ ating apology. You can take a small piece of the disagreement and say, “I should not have done X, and I can seewhy you feltY.”Then, by the power of reciprocity, the other person will likely feel a strong urge to say, ‘Yes, I was really upset byX. But I guess I shouldn’t have done P, so I can see why you felt Q.” Reciprocity amplified by self-serving biases drove you apart back when you were matching insults or hostile gestures, but you can turn the process around and use reciprocity to end a conflict and save a relationship. The human mind may have been shaped by evolutionary processes to play Machiavellian tit for tat, and it seems to come equipped with cognitive processes that predispose us to hypocrisy, self-righteousness, and moralistic",583
Page 95,"8 0 T h e H a p p i n e H y p o t h e s i s conflict. But sometimes, by knowing the minds structure and strategies, we can step out of the ancient game of social manipulation and enter into a game of our choosing. By seeing the log in your own eye you can become less biased, less moralistic, and therefore less inclined toward argument and conflict. You can begin to follow the perfect way, the path to happiness that leads through acceptance, which is the subject of the next chapter.",114
Page 96,"The Pursuit of Happiness Good men, at all times, surrender in truth all attachments. The holy spend not idle words on things of desire. When pleasure orpain comes to them, thewisefeel above pleasure and pain. — B u d d h1a Do not seek to have events happen asyou want them to, hut instead want them to happen as they do happen, and your life will gowelt — E p i c t e 2 u s If m o n e y o r p o w could buy happiness, then the author of the Old Tes­ tament book of Ecclesiastes should have been overjoyed. The text attrib­ utes itself to a king in Jerusalem, who looks back on his life and his search for happiness and fulfillment. He tried at one point to “make a test of plea­ sure,”by seeking happiness in his riches: I made great works; I built houses and planted vineyards for myself; I made myself gardens and parks, and planted in them all kinds of fruit trees ... I also had great possessions of herds and flocks, more than any who had been before me in Jerusalem. I also gathered for myself silver",247
Page 97,"82 T h e H a p p i n e H y p o t h e s i s and gold and the treasure of kings and of the provinces; I got singers, both men and women, and delights of the flesh, and many concubines. So I became great arid surpassed all who were before me in Jerusalem; also my wisdom remained with me. Whatever my eyes desired I did not keep from them. ( Ec c l e s i a 2 :4 - 1 0 ) But in what may be one of the earliest reports of a midlife crisis, the au­ thor finds it all pointless: Then I considered all that my hands had done and the toil I had spent in doingit, and again, all wasvanityand a chasing afterwind, and there was nothing to be gained under the sun. ( E c c l e s i a s:1 ) s 2 The author tells us about many other avenues he pursued—hard work, learning, wine—but nothing brought satisfaction; nothing could banish the feeling that his life had no more intrinsic worth or purpose than that of an animal. From the perspective of Buddha and the Stoic philosopher Epicte­ tus, the authors problem is obvious: his pursuit of happiness. Buddhism and Stoicism teach that strivingfor external goods, or to make the world conform to your wishes, is always a striving after wind. Happiness can only be found within, by breaking attachments to external things and cultivating an atti­ tude of acceptance. (Stoics and Buddhists can have relationships, jobs, and possessions, but, to avoid becoming upset upon losing them, they must not be emotionally attached.to them.) This idea is of course an extension of the truth of chapter 2: life itself is but what you deem it, and your mental state determines how you deem things. But recent research in psychology sug­ gests that Buddha and Epictetus may have taken things too fan Some things are worth striving for, and happiness comes in part from outside of yourself, if you know where to look. T h e P r o g r e s s P r i n c i p l e The author of Ecclesiastes wasn’tjust battling the fear of meaninglessness; he was battling the disappointment of success. The pleasure of getting",478
Page 98,"The Pursuit ofHappiness 83 what you want is often fleeting. You dream about getting a promotion, be­ ing accepted into a prestigious school, or finishing a big project. You work everywaking hour, perhaps imagining how happy you’d be if you could just achieve that goal. Then you succeed, and if you’re lucky you get an hour, maybe a day, of euphoria, particularly if your success was unexpected and there was a moment in which it was revealed (. . . the envelope, please). More typically, however, you don’t get any euphoria. When success seems increasingly probable and some final event confirms what you already had begun to expect, the feeling is more one of relief—the pleasure of closure and release. In such circumstances, my first thought is seldom “Hooray! Fantastic!”; it is “Okay, what do I have to do now?” My undeijoyed response to success turns out to be normal. And from an evolutionarypoint ofview, it’seven sensible.Animals get arush of dopamine, the pleasure neurotransmitter, whenever they do something that advances their evolutionary interests and moves them ahead in the game of life. Food and sexgive pleasure, and that pleasure serves as a reinforcer (in behaviorist terms) that motivates laterefforts to find food and sex. For humans, however, the game is more complex. People win at the game of life by achieving high status and a good reputation, cultivating friendships, finding the best mate(s), accumulating resources, and rearing their children to be successful at the same game. People have many goals and therefore many sources of pleasure. Soyou’d thinkwe would receive an enormous ar^dlong-lasting shot of dopamine whenever we succeed at an important goal. But here’sthe trick with reinforcement: It works best when it comes seconds—not minutes or hours—after the behavior. Just try training your dog to fetch by giving him a big steakten minutes after each successful retrieval. It can’t be done. The elephant works the same way: Itfeels pleasurewhenever it takes a step in the rightdirection. The elephant learns whenever pleasure (orpain) follows immediately after behavior, but it has trouble connecting success on Friday with actions it took on Monday. Richard Davidson, the psychologist who brought us affective style and the approach circuits of the front left cortex, writes about two types of positive affect. The first he calls “pre-goal attain­ ment positive affect,” which is the pleasurable feeling you get as you make progress toward a goal. The second is called “post-goal attainment positive af­ fect,” which Davidson says arises once you.have achieved something you",547
Page 99,"84 T h e H a p p i n e H y p o t h e s i s want.3You experience this latter feeling as contentment, as a short-lived feel­ ing of release when the left prefrontal cortex reduces its activity after a goal has been achieved. In other words, when it comes to goal pursuit, it really is the journey that counts, not the destination. Set for yourself any goal you want. Most of the pleasure will be had along the way, with every step that takes you closer. The final moment of success is often no more thrilling than the reliefof taking off a heavybackpack at the end ofa longhike. If you went on the hike onlyto feel that pleasure, you are a fool. Yetpeople sometimes do just this. They work hard at a task and expect some special euphoria at the end. But when they achieve success and find only moderate and short-lived pleasure, they ask (as the singer Peggy Lee once did): Is that all there is? They devalue their accomplishments as a striving after wind. We can call this “the progress principle”: Pleasure comes more from mak­ ing progress toward goals than from achieving them. Shakespeare captured it perfectly: “Things won are done;joys soul lies in the doing.”4 T h e A d a p t a t i o nP r i n c i p l e If I gave you ten seconds to name the very best and very worst things that could ever happen to you, you might well come up with these: winning a 20-million-dollar lottery jackpot and becoming paralyzed from the neck down. Winning the lottery would bring freedom from so many cares and limitations; it would enable you to pursue your dreams, help others, and live in comfort, so it ought to bring long-lasting happiness rather than one serv­ ing of dopamine. Losing the use of your body, on the other hand, would bring more limitations than life in prison. You’d have to give up on nearly all your goals and dreams, forget about sex, and depend on other people for help with eating and bathroom functions. Many people think they would rather be dead than paraplegic. But they are mistaken. Of course, its better towin the lottery than to breakyour neck, but not by as much as you’d think. Because whatever happens, you’re likely to adapt to it, but you don’t realize up front that you will. We are bad at “affective fore­ casting,”5that is, predicting how we’ll feel in the future. We grosslyoveresti­",534
Page 100,"The Pursuit ofHappiness 85 mate the intensity and the duration of our emotional reactions. Within a year, lotterywinners and paraplegics have both (on average) returned most of the way to their baseline levels of happiness.6The lotterywinner buys a new house and a new car, quits her boring job, and eats better food. She gets a kick out of the contrast with her former life, but within a few months the contrast blurs and the pleasure fades. The human mind is extraordinarily sensitive to changes in conditions, but not so sensitive to absolute levels. The winners pleasure comes from rising in wealth, not from standing still at a high level, and after a few months the new comforts have become the new baseline of daily life. The winner takes them for granted and has no way to rise any further. Even worse: The money might damage her relationships. Friends, relatives, swindlers, and sobbing strangers swarm around lottery winners, suing them, sucking up to them, demanding a share of the wealth. (Remember the ubiquity of self-servingbiases; everyone can find a reason to be owed something.) Lottery winners are so often harassed that many have to move, hide, end relationships, and finally turn to each other, forming lot­ terywinner support groups to deal with their new difficulties.7(It should be noted, however, that nearly all lotterywinners are still glad that they won.) At the other extreme, the quadriplegic takes a huge happiness loss up front. He thinks his life is over, and it hurts to give up everything he once hbped for. But like the lottery winner, his mind is sensitive more to changes than to absolute levels, so after a few months he has begun adapting to his new situation and is setting more modest goals. He discovers that physical therapy can expand his abilities. He has nowhere to go but up, and each step gives him the pleasure of the progress principle. The physicist Stephen Hawking has been trapped in a shell of a body since his early twenties, when he was diagnosed with motor neurone disease. Yet he went on to solve major problems in cosmology, win many prizes, and write the best-selling science book of all time. During a recent interview in the New York Times, he was asked how he keeps his spirits up. He replied: “My expectations were reduced to zero when I was twenty-one. Everything since then has been a bonus.”8 This is the adaptation principle at work: Peoples judgments about their present state are based on whether it is better or worse than the state to",530
Page 101,"86 T h e H a p p i n e Hy p o t h e s i s which they have become accustomed.9Adaptation is, in part, just a property of neurons: Nerve cells respond vigorously to new stimuli, but gradually they “habituate,” firing less to stimuli that they have become used to. It is change that contains vital information, not steady states. Human beings, however, take adaptation to cognitive extremes. We don’tjust habituate, we recalibrate. We create for ourselves a world of targets, and each time we hit one we replace it with another. After a string of successes we aim higher; af­ ter a massive setback, such as a broken neck, we aim low£r. Instead of fol­ lowing Buddhist and Stoic advice to surrender attachments and let events happen, we surround ourselves with goals, hopes, and expectations, and then feel pleasure and pain in relation to our progress.10 When we combine the adaptation principle with the discovery that peoples average level of happiness is highly heritable,11we come to a star­ tling possibility: In the long run, it doesn’t much matter what happens to you. Good fortune or bad, you will always return to your happiness set- point—your brain’s default level of happiness— which was determined largely by your genes. In 1759, long before anyone knew about genes, Adam Smith reached the same conclusion: s In every permanent situation, where there is no expectation of change, the mind of everyman, in a longer or shorter time, returns to its natural and usual state of tranquility. In prosperity, after a certain time, it fa1ls back to that state; in adversity, after a certain time, it rises up to it.12 If this idea is correct, then we are all stuck on what has been called the “hedonic treadmill.”13On an exercise treadmill you can increase the speed all you want, but you stay in the same place. In life, you can work as hard as you want, and accumulate all the riches, fruit trees, and concubines you want, but you can’t get ahead. Because you can’t change your “natural and usual state of tranquility,”the riches you accumulate will just raise your ex­ pectations and leave you no better off than you were before. Yet, not realiz­ ing the futility of our efforts, we continue to strive, all the while doing things that help us win at the game of life. Always wanting more than we have, we run and run and run, like hamsters on a wheel.",537
